code,name,level,group_code,group_name,qualification
"20.02.2004","Пожарная безопасность","college","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО","Техник; Старший техник"
"20.02.2005","Организация оперативного (экстренного) реагирования в чрезвычайных ситуациях","college","20.00.00","ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО","Специалист по приему и обработке экстренных вызовов"
"21.02.2001","Разработка и эксплуатация нефтяных и газовых месторождений","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-технолог; Старший техник-технолог"
"21.02.2002","Бурение нефтяных и газовых скважин","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-технолог; Старший техник-технолог"
"21.02.2003","Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник; Старший техник"
"21.02.2004","Землеустройство","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-землеустроитель; Специалист-землеустроитель"
"21.02.2005","Земельно-имущественные отношения","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Специалист по земельно-имущественным отношениям"
"21.02.2006","Информационные системы обеспечения градостроительной деятельности","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник; Специалист по информационным системам обеспечения градостроительной деятельности"
"21.02.2007","Аэрофотогеодезия","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-аэрофотогеодезист; Специалист по аэрофотогеодезии"
"21.02.2008","Прикладная геодезия","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-геодезист; Специалист по геодезии"
"21.02.2009","Гидрогеология и инженерная геология","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-гидрогеолог; Специалист-гидрогеолог"
"21.02.2010","Геология и разведка нефтяных и газовых месторождений","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-геолог; Специалист по разведке нефтяных и газовых месторождений"
"21.02.2011","Геофизические методы поисков и разведки месторождений полезных ископаемых","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-геофизик; Специалист-геофизик"
"21.02.2012","Технология и техника разведки месторождений полезных ископаемых","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник - горный разведчик; Специалист - горный разведчик"
"21.02.2013","Геологическая съемка, поиски и разведка месторождений полезных ископаемых","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник-геолог; Специалист-геолог"
"21.02.2014","Маркшейдерское дело","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Горный техник-маркшейдер"
"21.02.2015","Открытые горные работы","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Горный техник-технолог; Специалист по горным работам"
"21.02.2016","Шахтное строительство","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Горный техник-шахтостроитель"
"21.02.2017","Подземная разработка месторождений полезных ископаемых","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Горный техник-технолог; Специалист по горным работам"
"21.02.2018","Обогащение полезных ископаемых","college","21.00.00","ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ","Техник; Старший техник"
"22.02.2001","Металлургия черных металлов","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по металлургии черных металлов"
"22.02.2002","Металлургия цветных металлов","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по металлургии цветных металлов"
"22.02.2003","Литейное производство черных и цветных металлов","college","22.00.00","ТЕХНОЛОГИИ МАТЕРИАЛОВ","Техник; Специалист по литейному производству"
